Jurisdiction	Transit/bus-driver-specific treatment	Statute number(s)	Covered worker/setting	Statutory language / trigger (condensed from statute)	Felony or misdemeanor	Punishment / grading	Distinct from violence in general?	Source URL(s)	Notes
Georgia	Yes, but mainly based on the public transit vehicle/station setting rather than driver status.	O.C.G.A. sections 16-5-20, 16-5-21, 16-5-23, 16-5-23.1, 16-5-24	Public transit vehicle or station; any victim in that setting	Simple assault, simple battery, battery, aggravated assault, and aggravated battery committed in a public transit vehicle or station receive specified enhanced grading/punishment.	Misdemeanor or felony depending offense	Simple assault/battery/battery in transit setting are misdemeanors of a high and aggravated nature; aggravated assault in transit setting 3 to 20 years; aggravated battery in transit setting 5 to 20 years.	Yes, for transit setting; not only bus drivers	https://law.justia.com/codes/georgia/title-16/chapter-5/article-2/section-16-5-20/; https://law.justia.com/codes/georgia/title-16/chapter-5/article-2/section-16-5-21/; https://law.justia.com/codes/georgia/title-16/chapter-5/article-2/section-16-5-23/; https://law.justia.com/codes/georgia/title-16/chapter-5/article-2/section-16-5-23-1/	Public-transit setting distinction can protect drivers but is not limited to drivers.
Hawaii	Yes. Interference with a public transit operator is a separate felony.	HRS section 711-1112	Operator of a public transit vehicle	Interference occurs when a person intentionally, knowingly, or recklessly causes bodily injury to the operator, or recklessly creates a substantial risk of bodily injury to the operator, while the operator is operating or otherwise in control of a public transit vehicle.	Class C felony	Class C felony: up to 5 years imprisonment; fine generally up to $10,000.	Yes	https://www.capitol.hawaii.gov/hrscurrent/Vol14_Ch0701-0853/HRS0711/HRS_0711-1112.htm	Hawaii frames the offense as interference with the operator rather than ordinary assault.
Idaho	Limited school-bus-specific protection; no public-transit-driver assault enhancement located.	Idaho Code section 18-1522; general assault/battery sections 18-901, 18-903, 18-905	School bus driver; general assault victims	Interfering with or obstructing the driver of a school bus, or entering a school bus with intent to commit a crime or disrupt/impede operation, is prohibited.	Misdemeanor for school-bus interference; general assault/battery varies	Misdemeanor punishment generally up to 6 months/$1,000 unless a specific statute applies; aggravated battery may be felony.	School-bus only	https://legislature.idaho.gov/statutesrules/idstat/title18/t18ch15/sect18-1522/; https://legislature.idaho.gov/statutesrules/idstat/title18/t18ch09/	No current state public-transit operator assault enhancement located.
Illinois	Yes. Aggravated assault/battery provisions cover transportation-system personnel and passengers.	720 ILCS 5/12-2; 720 ILCS 5/12-3.05; 625 ILCS 50/1	Driver, operator, employee, or passenger of a transportation facility or system engaged in duties or using the system	Aggravated assault and aggravated battery include offenses against drivers, operators, employees, or passengers of a transportation facility/system. Posting law states assault against a transit employee is Class A misdemeanor and physical harm is Class 3 felony.	Misdemeanor or felony depending offense	Aggravated assault commonly Class A misdemeanor; some weapon/firearm forms are felonies. Aggravated battery against covered transportation personnel/passengers generally Class 3 felony.	Yes	https://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=072000050K12-2; https://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=072000050K12-3.05; https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=1823	Illinois has both criminal provisions and transit notice/signage requirements.
Indiana	No public-transit-driver-specific assault enhancement located.	Ind. Code sections 35-42-2-1, 35-42-2-2	General assault/battery victims; school employees may be separately protected if status elements apply	General battery statute grades injury/contact offenses; no current public-transit-driver category located.	Misdemeanor or felony depending injury/victim status	Basic battery is Class B misdemeanor; grading rises for injury, serious injury, deadly weapon, and listed protected classes.	No for public transit	https://iga.in.gov/laws/current/ic/titles/035/#35-42-2-1	School bus drivers may be covered in some school-employee scenarios, but no transit-operator-specific provision located.
Iowa	No public-transit-driver-specific assault enhancement located.	Iowa Code sections 708.1, 708.2	General assault victims	General assault covers acts intended to cause pain/injury, insulting or offensive contact, or placing another in fear of immediate physical contact.	Misdemeanor or felony depending assault type/injury	Assault penalties range from simple misdemeanor to aggravated misdemeanor or Class D felony depending injury, weapon, and intent.	No	https://www.legis.iowa.gov/docs/code/708.1.pdf; https://www.legis.iowa.gov/docs/code/708.2.pdf	No separate public-transit or bus-driver assault statute located.
Kansas	No public-transit-driver-specific assault enhancement located.	K.S.A. sections 21-5412, 21-5413	General assault/battery victims; school employees may be protected in limited circumstances	General assault/battery statutes apply; school-employee status can affect battery grading if statutory elements are met, but no public-transit-driver category was located.	Misdemeanor or felony depending offense	Assault/battery grading varies from misdemeanor to felony depending injury, weapon, and protected victim category.	No for public transit	https://www.ksrevisor.org/statutes/chapters/ch21/021_054_0012.html; https://www.ksrevisor.org/statutes/chapters/ch21/021_054_0013.html	No current state public-transit operator assault enhancement located.
Kentucky	Limited school-bus-specific protection; no public-transit-driver assault enhancement located.	KRS section 508.025; general assault sections 508.010-508.030	School bus driver acting in course of duty; general assault victims	Assault in the third degree includes intentionally causing or attempting to cause physical injury to a school bus driver while the driver is acting in the course of official duties.	Class D felony	Class D felony: 1 to 5 years.	School-bus only	https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=19721	No separate public-transit bus-operator statute located.
Louisiana	Yes. Battery of a bus operator or train operator is a separate offense.	La. R.S. section 14:34.5.1	Bus operator or train operator while operating a bus/train	Statute covers battery committed without consent when the offender has reasonable grounds to believe the victim is a bus operator or train operator operating a bus or train.	Misdemeanor, with mandatory minimum jail component	Imprisonment 72 hours to 1 year, with or without hard labor, and/or fine up to $1,000; at least 72 hours without benefit of probation, parole, or suspension of sentence.	Yes	https://legis.la.gov/Legis/Law.aspx?d=206144	Current Louisiana statute was amended after the older 2012 chart; use current penalty language.
Maine	No public-transit-driver-specific assault enhancement located.	17-A M.R.S. sections 207, 208, 208-B	General assault victims	General assault statutes cover bodily injury, offensive physical contact, serious bodily injury, or dangerous weapon scenarios.	Misdemeanor or felony depending offense	Assault is generally Class D; elevated assault is Class C; aggravated assault is Class B.	No	https://legislature.maine.gov/statutes/17-A/title17-Asec207.html; https://legislature.maine.gov/statutes/17-A/title17-Asec208.html	No current state transit-operator assault enhancement located.
Maryland	Yes for interference and transit bans after assault allegations; no assault-degree reclassification located.	Md. Transportation Code sections 7-705(f), 7-705.1	Transit vehicle operator; station agent, conductor, or station attendant; alleged assault on public transit operator or passenger	section 7-705(f) makes it unlawful to obstruct, hinder, or interfere with the operation or operator of a transit vehicle/railroad passenger car or listed station/rail personnel. section 7-705.1 permits prohibiting a person alleged to have committed assault or another intentional bodily-injury act against a public transit operator or passenger from using state transit or entering stations.	section 7-705(f): misdemeanor; section 7-705.1: administrative exclusion	Misdemeanor under section 7-705(f): fine up to $1,000 and imprisonment up to 1 year, or both.	Yes for interference/transit exclusion, not assault grading	https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=gtr&section=7-705; https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=gtr&section=7-705.1	Maryland's new section 7-705.1 is not a criminal penalty enhancement; it creates a transit-use/station-ban process.
Massachusetts	Yes. Public transit workers are protected by assault-and-battery statute.	Mass. Gen. Laws ch. 265, section 13D, as amended by 2025 Mass. Acts ch. 79	Public transit worker, including operators and other covered transit employees	Assault and battery on a public employee provision covers public transit workers performing duties, including offensive physical contact and bodily-fluid/substance forms.	Misdemeanor-style house-of-correction offense	Not less than 90 days nor more than 2.5 years in house of correction, or fine $500 to $5,000, or both.	Yes	https://malegislature.gov/Laws/SessionLaws/Acts/2025/Chapter79; https://malegislature.gov/Laws/GeneralLaws/PartIV/TitleI/Chapter265/Section13D	2025 act broadened and updated the transit-worker coverage.
Michigan	No current public-transit-driver-specific assault enhancement located.	MCL sections 750.81, 750.81a, 750.82; public-utility worker provisions sections 750.81e-750.81g do not cover transit operators	General assault/battery victims	General assault/battery statutes apply; separate public-utility-worker assault statutes are for electric/gas/water/telecom/cable-type utility workers, not public transit operators.	Misdemeanor or felony depending offense	Basic assault/battery misdemeanor up to 93 days/$500; aggravated assault misdemeanor up to 1 year/$1,000; felonious assault felony up to 4 years/$2,000.	No	https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-750-81; https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-750-81a; https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-750-82; https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-750-81e	Recent transit-worker assault bills existed, but no enacted current MCL transit-operator provision was located.
Minnesota	Yes. Separate assault/bodily-fluid offense for transit operators, plus transit-operator interference.	Minn. Stat. sections 609.2231 subd. 11, 609.855	Transit operator; operator of transit vehicle; light rail, special transportation, commuter rail contexts	section 609.2231 subd. 11 covers assaulting a transit operator or intentionally throwing/transferring bodily fluids onto the operator while the operator is performing duties in/near a transit vehicle. section 609.855 covers intentionally interfering with or obstructing transit-vehicle operation, with higher penalty if force, violence, or threat is used.	Gross misdemeanor; felony-level penalty for force/threat interference	Transit-operator assault/bodily-fluid offense: gross misdemeanor, up to 364 days/$3,000. Interference with force/violence/threat: up to 3 years/$5,000; otherwise up to 90 days/$1,000.	Yes	https://www.revisor.mn.gov/statutes/cite/609.2231; https://www.revisor.mn.gov/statutes/cite/609.855	Strong transit-specific coverage.
Mississippi	Limited school-bus-specific protection; no public-transit-driver assault enhancement located.	Miss. Code section 97-3-7	School bus driver; general assault victims	Simple assault and aggravated assault penalties are enhanced when committed against a school bus driver acting within the scope of duty, among other listed protected persons.	Felony for protected school-bus-driver assault forms	Simple assault on listed school bus driver: up to 5 years/$1,000. Aggravated assault on listed school bus driver: up to 30 years/$5,000.	School-bus only	https://law.justia.com/codes/mississippi/title-97/chapter-3/in-general/section-97-3-7/	No state public-transit bus-operator assault provision located.
Missouri	Yes. Mass transit workers can be special victims; bus hijacking statute also protects bus drivers/attendants/guards.	Mo. Rev. Stat. sections 565.002, 565.050, 565.052, 565.054, 577.703	Mass transit worker; bus driver, attendant, or guard	Assault statutes grade offenses more severely when the victim is a special victim, which includes a mass transit worker. Bus hijacking statute covers assaulting, threatening, intimidating, or battering a bus driver/attendant/guard to interfere with duties or gain control of a bus.	Felony, depending offense	Assault grades increase for special victims; assault 2 can be Class B felony in special-victim cases. Bus hijacking is Class B felony; assault with intent to commit bus hijacking is Class C felony, or Class A felony with dangerous/deadly weapon.	Yes	https://revisor.mo.gov/main/OneSection.aspx?section=565.002; https://revisor.mo.gov/main/OneSection.aspx?section=565.050; https://revisor.mo.gov/main/OneSection.aspx?section=565.052; https://revisor.mo.gov/main/OneSection.aspx?section=577.703	Missouri has both general assault special-victim coverage and a bus-hijacking-specific law.
Montana	No public-transit-driver-specific assault enhancement located.	Mont. Code Ann. sections 45-5-201, 45-5-202	General assault victims	General assault and aggravated assault statutes apply to injuries, reasonable apprehension of bodily injury, physical contact, serious bodily injury, or weapon scenarios.	Misdemeanor or felony depending offense	Assault generally misdemeanor; felony forms apply for aggravated assault, weapon, serious bodily injury, and protected victim categories not including transit drivers.	No	https://leg.mt.gov/bills/mca/title_0450/chapter_0050/part_0020/sections_index.html	No current state public-transit/bus-driver category located.
Nebraska	No public-transit-driver-specific assault enhancement located.	Neb. Rev. Stat. sections 28-308, 28-309, 28-310	General assault victims	General assault degrees cover serious bodily injury, bodily injury with a dangerous instrument, bodily injury, or threatened bodily injury.	Misdemeanor or felony depending degree	First degree Class II felony; second degree Class IIA felony; third degree Class I misdemeanor or Class IIIA felony when committed in menacing manner.	No	https://nebraskalegislature.gov/laws/statutes.php?statute=28-308; https://nebraskalegislature.gov/laws/statutes.php?statute=28-309; https://nebraskalegislature.gov/laws/statutes.php?statute=28-310	No current state public-transit/bus-driver assault category located.
Nevada	Yes. Assault and battery statutes specifically cover transit operators.	NRS sections 200.471, 200.481	Transit operator	Assault/battery committed against a transit operator triggers enhanced classifications; deadly weapon and substantial bodily harm produce felony treatment.	Gross misdemeanor or felony	Assault on transit operator: gross misdemeanor; with deadly weapon/present ability: category B felony, 1 to 6 years and possible fine up to $5,000. Battery on transit operator: gross misdemeanor; substantial bodily harm or deadly weapon: category B felony, 2 to 10 years and possible fine up to $10,000.	Yes	https://www.leg.state.nv.us/NRS/NRS-200.html#NRS200Sec471; https://www.leg.state.nv.us/NRS/NRS-200.html#NRS200Sec481	Strong transit-operator-specific coverage.
New Hampshire	No public-transit-driver-specific assault enhancement located.	N.H. Rev. Stat. Ann. sections 631:1, 631:2, 631:2-a	General assault victims	General first-degree, second-degree, and simple assault statutes apply based on injury, weapon, intent, and recklessness.	Misdemeanor or felony depending degree	First-degree assault Class A felony; second-degree assault generally Class B felony; simple assault misdemeanor or violation depending facts.	No	https://www.gencourt.state.nh.us/rsa/html/LXII/631/631-mrg.htm	No current state public-transit/bus-driver assault category located.
New Jersey	Yes. Assault on bus, rail, and school-bus personnel is elevated.	N.J.S.A. section 2C:12-1(b)(5)(h)	Operator of a motorbus, employee of a rail passenger service, school bus driver, and related transit personnel while performing duties	Simple assault becomes aggravated assault when committed against listed transit/school-bus personnel; if bodily injury occurs it is third degree, otherwise fourth degree.	Third- or fourth-degree crime	Third degree: 3 to 5 years, fine up to $15,000. Fourth degree: up to 18 months, fine up to $10,000.	Yes	https://law.justia.com/codes/new-jersey/title-2c/section-2c-12-1/	Includes public bus and rail personnel and school bus drivers.
New Mexico	Yes for bus hijacking/assault with intent to commit bus hijacking; no ordinary transit-driver assault enhancement located.	N.M. Stat. section 30-7-12	Bus driver, attendant, or guard; bus passengers	Bus hijacking covers seizing or exercising control of a bus by force, violence, threat, or intimidation. Assault with intent to commit bus hijacking includes assault, threat, intimidation, or violence toward a bus driver/attendant/guard to interfere with duties or toward passengers to gain control of a bus.	Third- or fourth-degree felony	Bus hijacking: third-degree felony. Assault with intent to commit bus hijacking: fourth-degree felony. General penalties: third-degree felony commonly 3 years; fourth-degree felony 18 months, subject to New Mexico sentencing rules.	Yes, for hijacking/interference context	https://law.justia.com/codes/new-mexico/chapter-30/article-7/section-30-7-12/	Focuses on control/interference with bus operation, not all assaults on drivers.
New York	Yes. Assault on transit workers is assault in the second degree.	N.Y. Penal Law section 120.05(11)	Train operator, ticket inspector, conductor, signalperson, bus operator, station agent, station cleaner, terminal cleaner, and related transit workers	Assault 2 includes causing physical injury to specified transit workers with intent to prevent them from performing lawful duties.	Class D violent felony	Class D violent felony; determinate sentence commonly 2 to 7 years depending offender history and sentencing rules.	Yes	https://www.nysenate.gov/legislation/laws/PEN/120.05	New York has detailed enumerated transit-worker categories.
North Carolina	Yes. Assault on a public transit operator is specifically covered.	N.C. Gen. Stat. section 14-33(c)(7)	Public transit operator, including public/private contractor employees performing transit-operator duties	Assault or assault and battery on a public transit operator while the operator is discharging or attempting to discharge official duties.	Class A1 misdemeanor	Class A1 misdemeanor; maximum punishment up to 150 days depending prior record and sentencing level.	Yes	https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html	Covers operators employed by private contracting agencies as well as public agencies.
North Dakota	No public-transit-driver-specific assault enhancement located.	N.D. Cent. Code sections 12.1-17-01, 12.1-17-02	General assault victims	General assault and aggravated assault statutes apply based on bodily injury, serious bodily injury, dangerous weapon, and culpability.	Misdemeanor or felony depending offense	Simple assault generally Class A misdemeanor, with felony grading for protected victims/serious factors; aggravated assault Class C felony.	No	https://ndlegis.gov/cencode/t12-1c17.pdf	No current state public-transit/bus-driver category located.
Ohio	Limited school-bus-specific protection; no public-transit-driver assault enhancement located.	Ohio Rev. Code section 2903.13; general felonious/aggravated assault sections 2903.11, 2903.12	School bus driver, operator, or monitor; general assault victims	Assault statute includes enhanced treatment when the victim is a school bus driver, operator, or monitor and the offense occurs while performing duties, during boarding/exiting, or in the immediate vicinity of a school bus.	Fifth-degree felony for school-bus-driver assault; general offenses vary	Fifth-degree felony generally 6 to 12 months and possible fine up to $2,500.	School-bus only	https://codes.ohio.gov/ohio-revised-code/section-2903.13	No public-transit bus-operator enhancement located.
Oklahoma	Yes for bus hijacking/assault with intent to commit bus hijacking; no ordinary transit-driver assault enhancement located.	21 O.S. sections 1901-1904	Bus driver, attendant, or guard; bus passengers	Bus hijacking and assault with intent to commit bus hijacking cover force, violence, threat, intimidation, or assault toward the driver/attendant/guard to interfere with duties or gain control of a bus.	Felony	Bus hijacking: felony with imprisonment up to 20 years and/or fine up to $20,000. Assault with intent to commit bus hijacking: felony up to 10 years and/or fine up to $5,000; higher if dangerous/deadly weapon applies.	Yes, for hijacking/interference context	https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69447; https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69448	Focuses on control/interference with bus operation.
Oregon	Yes. Assault on public transit vehicle operator is assault in the third degree.	ORS section 163.165	Public transit vehicle operator while operating or in control of a vehicle	Assault in the third degree includes causing physical injury to the operator of a public transit vehicle while the operator is in control of or operating the vehicle.	Class C felony	Class C felony: up to 5 years imprisonment and fine up to $125,000.	Yes	https://oregon.public.law/statutes/ors_163.165	Official Oregon text can also be checked through the Oregon Legislature ORS pages.
Pennsylvania	Yes. Public transportation employees are protected under aggravated assault.	18 Pa.C.S. section 2702	Public transportation employee	Aggravated assault includes attempts to cause, or intentionally/knowingly/recklessly causing, bodily injury or serious bodily injury to listed protected persons, including public transportation employees, while in performance of duty.	Felony of the first or second degree depending injury/paragraph	Serious bodily injury form: felony of the first degree, max 20 years/$25,000. Bodily injury form: felony of the second degree, max 10 years/$25,000.	Yes	https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/18/00.027.002.000..HTM	Use exact subsection based on injury level and protected-employee category.
Rhode Island	Yes. Rhode Island Public Transit Authority bus drivers are listed in assault-on-public-officials statute.	R.I. Gen. Laws section 11-5-5	RIPTA bus driver and other listed public officials/employees	Assault or battery upon listed public officials/employees includes Rhode Island Public Transit Authority bus drivers.	Felony	Felony punishable by imprisonment up to 3 years and/or fine up to $1,500.	Yes	http://webserver.rilegislature.gov/Statutes/TITLE11/11-5/11-5-5.htm	Transit coverage is specifically tied to RIPTA bus drivers.
South Carolina	Yes for interference with public transportation operators/vehicles; school-bus protections also exist.	S.C. Code sections 58-23-1830, 59-67-245, 16-3-612	Public transportation vehicle operator; school bus driver/personnel	section 58-23-1830 prohibits obstructing, hindering, interfering with, disrupting, or disturbing the operation or operator of a public transportation vehicle. Separate school-bus laws prohibit interference/threats and student assault/battery against school personnel including bus drivers.	Misdemeanor for public-transportation interference and school-bus interference	Public transportation interference: first offense up to 30 days/$200; second up to 60 days/$500; third/subsequent up to 90 days/$1,000. Student assault/battery on school personnel: misdemeanor up to 1 year/$1,000.	Yes for interference; school-bus-specific also	https://www.scstatehouse.gov/code/t58c023.php; https://www.scstatehouse.gov/code/t59c067.php; https://www.scstatehouse.gov/code/t16c003.php	No separate felony assault enhancement for public transit operators located, but interference law is transit-specific.
South Dakota	No public-transit-driver-specific assault enhancement located.	S.D. Codified Laws sections 22-18-1, 22-18-1.1	General assault victims	General simple assault and aggravated assault statutes apply based on attempts, injury, fear, serious bodily injury, and weapon/dangerous-substance factors.	Misdemeanor or felony depending offense	Simple assault generally Class 1 misdemeanor; aggravated assault generally Class 3 felony.	No	https://sdlegislature.gov/Statutes/22-18-1; https://sdlegislature.gov/Statutes/22-18-1.1	No current state public-transit/bus-driver category located.
Tennessee	No current public-transit-driver-specific assault enhancement located; historical transit-employee aggravated-assault language appears to have been deleted.	Tenn. Code sections 39-13-101, 39-13-102	General assault victims	Current assault/aggravated-assault statutes apply based on bodily injury, fear, offensive contact, serious injury, deadly weapon, strangulation, and other general factors.	Misdemeanor or felony depending offense	Assault generally Class A or B misdemeanor depending conduct; aggravated assault generally Class C or D felony depending facts.	No current distinct transit category located	https://codes.findlaw.com/tn/title-39-criminal-offenses/tn-code-sect-39-13-101/; https://codes.findlaw.com/tn/title-39-criminal-offenses/tn-code-sect-39-13-102/	Older compilations list a transportation-system employee provision under section 39-13-102; current accessible text does not show that transit-specific language.
Texas	Partial. Public transit drivers employed by a governmental transit agency may be protected as public servants, but there is no bus-driver-specific category.	Tex. Penal Code sections 22.01, 22.02	Public servant while lawfully discharging official duty; general assault victims	Assault causing bodily injury to a person the actor knows is a public servant lawfully discharging duty is elevated. This can cover publicly employed transit workers, but not because of bus-driver status itself.	Felony or misdemeanor depending status/offense	Bodily-injury assault on public servant: third-degree felony, 2 to 10 years and possible fine up to $10,000. General assault otherwise ranges from Class C/A misdemeanor to felony; aggravated assault can be second- or first-degree felony.	Partly; public-servant status, not transit-driver status	https://statutes.capitol.texas.gov/Docs/PE/htm/PE.22.htm	Private or contractor transit operators may not fit the public-servant enhancement; check employment/status facts.
